Category: All categories

Week,rmarkdown: (Worldwide),blogdown: (Worldwide),reproducibility: (Worldwide),knitr: (Worldwide)
2013-12-22,0,0,15,14
2013-12-29,0,0,19,8
2014-01-05,4,0,36,21
2014-01-12,3,0,34,26
2014-01-19,2,0,53,35
2014-01-26,3,0,58,36
2014-02-02,2,0,43,43
2014-02-09,2,0,30,38
2014-02-16,2,0,47,32
2014-02-23,7,0,49,41
2014-03-02,3,0,45,25
2014-03-09,3,0,49,24
2014-03-16,4,0,34,35
2014-03-23,2,0,42,31
2014-03-30,2,0,50,26
2014-04-06,4,0,44,46
2014-04-13,3,0,42,43
2014-04-20,2,2,44,33
2014-04-27,6,0,45,29
2014-05-04,4,0,33,36
2014-05-11,2,0,42,46
2014-05-18,7,0,33,36
2014-05-25,5,0,27,33
2014-06-01,6,2,47,44
2014-06-08,6,2,39,47
2014-06-15,5,0,37,34
2014-06-22,11,0,30,37
2014-06-29,5,0,42,31
2014-07-06,10,0,40,49
2014-07-13,6,0,44,43
2014-07-20,7,0,38,36
2014-07-27,6,0,40,42
2014-08-03,11,0,31,40
2014-08-10,10,0,28,35
2014-08-17,9,0,36,32
2014-08-24,14,0,51,25
2014-08-31,15,0,56,34
2014-09-07,16,0,43,44
2014-09-14,22,2,59,45
2014-09-21,17,0,51,26
2014-09-28,9,0,38,44
2014-10-05,15,0,41,47
2014-10-12,13,0,59,49
2014-10-19,11,0,38,45
2014-10-26,14,0,46,46
2014-11-02,10,0,33,32
2014-11-09,11,0,50,36
2014-11-16,16,0,42,41
2014-11-23,12,0,31,36
2014-11-30,21,0,47,48
2014-12-07,6,0,43,48
2014-12-14,7,0,33,40
2014-12-21,9,2,25,22
2014-12-28,5,0,17,14
2015-01-04,11,0,37,40
2015-01-11,13,0,43,44
2015-01-18,17,0,59,33
2015-01-25,23,0,44,41
2015-02-01,20,0,33,46
2015-02-08,21,0,45,43
2015-02-15,30,0,47,51
2015-02-22,23,0,30,36
2015-03-01,23,0,49,44
2015-03-08,25,0,57,37
2015-03-15,20,0,47,43
2015-03-22,12,0,44,40
2015-03-29,18,0,43,32
2015-04-05,13,0,34,42
2015-04-12,12,0,27,45
2015-04-19,19,0,49,33
2015-04-26,29,0,37,37
2015-05-03,22,0,46,43
2015-05-10,11,0,44,30
2015-05-17,28,0,49,37
2015-05-24,17,0,33,34
2015-05-31,17,2,33,40
2015-06-07,13,0,50,43
2015-06-14,20,0,48,34
2015-06-21,15,0,42,33
2015-06-28,12,0,41,38
2015-07-05,28,0,34,33
2015-07-12,22,0,35,40
2015-07-19,19,0,35,26
2015-07-26,21,2,27,38
2015-08-02,22,0,32,36
2015-08-09,24,2,33,37
2015-08-16,20,0,42,41
2015-08-23,24,0,69,31
2015-08-30,23,0,83,24
2015-09-06,25,3,62,36
2015-09-13,31,0,75,43
2015-09-20,27,0,55,41
2015-09-27,33,2,59,38
2015-10-04,26,0,48,37
2015-10-11,32,0,38,37
2015-10-18,36,0,40,39
2015-10-25,37,0,44,38
2015-11-01,30,0,70,34
2015-11-08,26,0,60,37
2015-11-15,31,0,51,38
2015-11-22,21,0,35,33
2015-11-29,39,0,57,31
2015-12-06,24,0,42,25
2015-12-13,26,0,41,33
2015-12-20,18,0,19,20
2015-12-27,13,0,25,25
2016-01-03,28,0,40,41
2016-01-10,24,0,52,27
2016-01-17,27,0,42,39
2016-01-24,33,2,47,43
2016-01-31,40,2,51,39
2016-02-07,33,0,53,48
2016-02-14,38,0,51,46
2016-02-21,44,0,44,34
2016-02-28,38,0,55,32
2016-03-06,37,0,55,48
2016-03-13,41,0,39,34
2016-03-20,25,0,42,42
2016-03-27,42,0,38,31
2016-04-03,45,0,50,41
2016-04-10,29,0,41,42
2016-04-17,41,0,51,30
2016-04-24,38,0,55,35
2016-05-01,27,0,42,38
2016-05-08,32,2,38,28
2016-05-15,35,0,52,31
2016-05-22,30,0,43,40
2016-05-29,29,0,50,35
2016-06-05,38,0,43,32
2016-06-12,29,2,47,36
2016-06-19,37,0,39,23
2016-06-26,37,0,39,30
2016-07-03,32,0,39,20
2016-07-10,39,0,39,28
2016-07-17,31,0,36,30
2016-07-24,31,0,34,27
2016-07-31,29,0,32,33
2016-08-07,29,0,46,25
2016-08-14,23,0,41,27
2016-08-21,35,0,55,30
2016-08-28,33,0,48,31
2016-09-04,53,0,56,33
2016-09-11,49,0,53,37
2016-09-18,48,0,62,21
2016-09-25,67,0,64,31
2016-10-02,61,0,51,29
2016-10-09,46,0,59,31
2016-10-16,50,0,61,28
2016-10-23,48,0,48,34
2016-10-30,53,0,47,26
2016-11-06,54,0,57,30
2016-11-13,48,2,48,30
2016-11-20,48,0,50,47
2016-11-27,52,2,50,26
2016-12-04,56,0,56,36
2016-12-11,53,2,41,28
2016-12-18,43,4,28,30
2016-12-25,21,2,24,9
2017-01-01,39,3,34,26
2017-01-08,50,3,35,32
2017-01-15,60,2,59,34
2017-01-22,75,0,59,46
2017-01-29,52,0,47,44
2017-02-05,52,0,54,41
2017-02-12,63,2,52,39
2017-02-19,61,0,72,45
2017-02-26,68,5,56,41
2017-03-05,78,3,68,36
2017-03-12,71,0,57,38
2017-03-19,65,2,49,35
2017-03-26,65,2,67,47
2017-04-02,64,2,50,33
2017-04-09,69,2,60,29
2017-04-16,63,3,57,40
2017-04-23,53,4,52,35
2017-04-30,89,5,39,32
2017-05-07,70,4,55,36
2017-05-14,66,6,42,29
2017-05-21,53,6,54,21
2017-05-28,44,3,35,35
2017-06-04,63,3,38,40
2017-06-11,59,3,48,25
2017-06-18,54,3,48,26
2017-06-25,55,3,35,33
2017-07-02,52,5,39,30
2017-07-09,51,2,37,17
2017-07-16,58,2,39,26
2017-07-23,46,3,41,24
2017-07-30,61,2,39,36
2017-08-06,60,3,49,24
2017-08-13,52,4,44,27
2017-08-20,59,2,41,38
2017-08-27,56,3,51,26
2017-09-03,67,3,60,35
2017-09-10,78,4,60,39
2017-09-17,81,4,52,41
2017-09-24,77,5,52,36
2017-10-01,76,2,45,29
2017-10-08,74,2,66,29
2017-10-15,78,5,56,24
2017-10-22,83,6,67,33
2017-10-29,74,2,52,23
2017-11-05,74,6,61,42
2017-11-12,79,4,43,30
2017-11-19,56,2,49,31
2017-11-26,71,3,49,24
2017-12-03,78,4,60,28
2017-12-10,62,6,48,26
2017-12-17,70,9,43,31
2017-12-24,29,4,29,18
2017-12-31,57,6,31,24
2018-01-07,54,6,47,21
2018-01-14,75,5,51,27
2018-01-21,88,5,52,31
2018-01-28,96,5,66,27
2018-02-04,86,8,45,25
2018-02-11,71,5,55,23
2018-02-18,73,7,55,31
2018-02-25,69,5,51,25
2018-03-04,76,3,46,24
2018-03-11,75,4,66,28
2018-03-18,79,4,44,28
2018-03-25,72,4,39,27
2018-04-01,64,3,48,26
2018-04-08,84,2,44,34
2018-04-15,87,6,56,26
2018-04-22,81,4,49,30
2018-04-29,72,8,54,28
2018-05-06,75,7,43,23
2018-05-13,75,5,45,24
2018-05-20,73,5,52,22
2018-05-27,77,5,44,18
2018-06-03,52,5,53,26
2018-06-10,51,3,32,21
2018-06-17,69,3,41,21
2018-06-24,53,5,44,18
2018-07-01,52,8,32,21
2018-07-08,58,7,44,28
2018-07-15,74,5,44,15
2018-07-22,65,5,41,24
2018-07-29,65,5,36,19
2018-08-05,74,4,40,25
2018-08-12,60,5,41,23
2018-08-19,77,2,41,16
2018-08-26,69,4,52,17
2018-09-02,88,4,63,19
2018-09-09,82,5,55,28
2018-09-16,100,4,66,20
2018-09-23,87,1,67,23
2018-09-30,89,4,47,25
2018-10-07,96,4,43,27
2018-10-14,91,4,44,26
2018-10-21,78,4,51,25
2018-10-28,83,3,55,17
2018-11-04,89,5,42,31
2018-11-11,71,8,53,16
2018-11-18,74,4,46,15
2018-11-25,69,3,50,25
2018-12-02,91,5,57,18
2018-12-09,96,5,57,23
